name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
1Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld11	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
1Ld12	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld11	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
3Ld12	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
5Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
7Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
