name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
A-1-A-2	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-2-A-3	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-3-A-4	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-4-A-5	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-5-A-6	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-6-A-7	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
A-7-A-8	SEEG	V	n/a	n/a	bipolar	A	1000	depth	n/a
B-1-B-2	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-2-B-3	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-3-B-4	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-4-B-5	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-5-B-6	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-6-B-7	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-7-B-8	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-8-B-9	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-10-B-11	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-10-B-9	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-11-B-12	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-12-B-13	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-13-B-14	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
B-14-B-15	SEEG	V	n/a	n/a	bipolar	B	1000	depth	n/a
C-1-C-2	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-2-C-3	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-3-C-4	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-4-C-5	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-5-C-6	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-6-C-7	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-7-C-8	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-8-C-9	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-10-C-9	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-10-C-11	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
C-11-C-12	SEEG	V	n/a	n/a	bipolar	C	1000	depth	n/a
D-1-D-2	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-2-D-3	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-3-D-4	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-4-D-5	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-5-D-6	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-6-D-7	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-7-D-8	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-8-D-9	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-10-D-9	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-10-D-11	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-11-D-12	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-12-D-13	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-13-D-14	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
D-14-D-15	SEEG	V	n/a	n/a	bipolar	D	1000	depth	n/a
E-1-E-2	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-2-E-3	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-3-E-4	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-4-E-5	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-5-E-6	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-6-E-7	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-7-E-8	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-8-E-9	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-10-E-11	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-10-E-9	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
E-11-E-12	SEEG	V	n/a	n/a	bipolar	E	1000	depth	n/a
F-1-F-2	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-2-F-3	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-3-F-4	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-4-F-5	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-5-F-6	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-6-F-7	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-7-F-8	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-8-F-9	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-10-F-11	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-10-F-9	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-11-F-12	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-12-F-13	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-13-F-14	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
F-14-F-15	SEEG	V	n/a	n/a	bipolar	F	1000	depth	n/a
G-1-G-2	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
G-2-G-3	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
G-3-G-4	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
G-4-G-5	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
G-5-G-6	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
G-6-G-7	SEEG	V	n/a	n/a	bipolar	G	1000	depth	n/a
